feature,importance
P_2_mean,0.08472269
P_2_min,0.03381108
B_37_last,0.018577367
D_48_last,0.01824644
B_2_sum,0.011121489
D_44_mean,0.008961327
B_18_last,0.008284803
B_2_last,0.0076868962
D_111_min,0.006287632
P_2_last,0.005331641
R_3_mean,0.0052671605
D_42_min,0.0048797885
R_1_mean,0.0048765345
D_51_sum,0.0047334894
D_42_max,0.0044441437
B_7_last,0.0038977796
S_3_mean,0.0037163522
B_23_last,0.0028554713
R_1_last,0.0027856585
R_2_last,0.0026891402
D_106_mean,0.002682451
D_50_sum,0.0025022475
R_27_mean,0.0024567968
D_49_last,0.0024470885
P_3_last,0.0024282418
D_39_last,0.0023057456
D_43_mean,0.002270858
D_41_last,0.0022673465
B_8_min,0.0022351947
B_4_sum,0.0022070976
D_44_max,0.0021453016
D_45_max,0.0021107674
D_49_mean,0.0021048563
D_46_last,0.0019321261
B_4_last,0.0019213741
D_61_sum,0.0018996516
D_66_nan_mean,0.0018937188
B_3_last,0.0018829949
D_44_last,0.0018563336
S_7_min,0.001854872
B_11_last,0.0018389814
D_50_min,0.0018365165
B_5_sum,0.0018068143
D_66_1.0_sum,0.0018063411
R_14_max,0.0017860455
R_26_last,0.0017466208
S_26_sum,0.0017430543
S_25_last,0.0017312329
D_42_mean,0.0017060973
D_50_max,0.0016937733
S_13_sum,0.0016553756
D_52_min,0.0016061884
D_122_min,0.0016052279
R_11_sum,0.0015909333
D_112_last,0.0015897247
S_3_max,0.0015771808
D_139_last,0.0015733097
P_2_max,0.001568412
D_120_1.0_mean,0.0015653075
R_15_sum,0.0015351134
D_73_max,0.0015213417
D_135_min,0.001515157
D_105_max,0.001512872
S_15_max,0.0015053112
S_24_last,0.0015044363
D_43_last,0.0015005533
S_3_last,0.0014997653
S_23_mean,0.0014947492
R_3_max,0.0014946305
D_39_max,0.0014785363
R_13_max,0.0014762445
D_127_sum,0.0014426291
D_105_mean,0.0014207255
D_47_max,0.0014199099
S_16_sum,0.0014102857
B_9_last,0.0014028717
B_26_max,0.0013978262
R_9_last,0.0013952525
B_17_last,0.0013944283
S_26_max,0.0013894746
B_13_max,0.0013834019
B_29_last,0.001380809
B_6_min,0.0013782169
B_26_last,0.0013689814
D_127_mean,0.0013402803
B_17_sum,0.0013360024
P_2_sum,0.0013331762
R_25_sum,0.0013317275
D_103_mean,0.0013143138
D_117_6.0_sum,0.0013115797
D_110_max,0.0012978269
D_138_last,0.0012960389
D_126_nan_sum,0.001294401
S_15_sum,0.0012892784
B_1_sum,0.0012853871
B_18_sum,0.0012819481
D_83_sum,0.0012705007
D_136_min,0.0012687776
D_130_min,0.0012652149
B_24_max,0.0012476263
D_42_sum,0.0012440822
D_118_min,0.0012413696
B_12_last,0.0012338215
B_40_last,0.0012326767
D_54_min,0.0012301224
D_59_max,0.0012244148
R_21_max,0.0012213718
