n_estimators,learning_rate,subsample,colsample_bytree,scale_pos_weight,auc_train,auc_test1,auc_test2
50,0.01,0.5,0.5,1,0.9500263180412446,0.9444018501235469,0.9438877264397147
50,0.01,0.5,0.5,5,0.9482473382422404,0.9431903536465774,0.9421714635397374
50,0.01,0.5,0.5,10,0.9473580608001376,0.9423012542623372,0.9411412604769789
50,0.01,0.5,1.0,1,0.9502379548277842,0.9441355768242184,0.9433220558798759
50,0.01,0.5,1.0,5,0.9481930158386894,0.9425829661008416,0.9413117554811765
50,0.01,0.5,1.0,10,0.9473013235594208,0.9421827261228606,0.9405378066310054
50,0.01,0.8,0.5,1,0.9503707562634855,0.9447368774907096,0.9436877460892363
50,0.01,0.8,0.5,5,0.9484321736390124,0.9429167899259715,0.9419809843303917
50,0.01,0.8,0.5,10,0.9478269285567947,0.9426002860390562,0.9414892899043502
50,0.01,0.8,1.0,1,0.9501945855717685,0.9435577936457185,0.943264191579295
50,0.01,0.8,1.0,5,0.9480115829360516,0.9418369637141208,0.9412175462040354
50,0.01,0.8,1.0,10,0.9472606784582196,0.9414769386406051,0.9402664501678839
50,0.1,0.5,0.5,1,0.9575792116132098,0.9480110375041404,0.9475634095371872
50,0.1,0.5,0.5,5,0.9573993748404506,0.9479986839060367,0.9471265506636803
50,0.1,0.5,0.5,10,0.9570035562256407,0.947699513791153,0.9467824765876391
50,0.1,0.5,1.0,1,0.9584500589316812,0.9479264852179031,0.9479950960281855
50,0.1,0.5,1.0,5,0.9583873760595305,0.9476680141910608,0.9471888543620831
50,0.1,0.5,1.0,10,0.9580606134037004,0.9474157130463626,0.9471679988732504
50,0.1,0.8,0.5,1,0.9584483027442103,0.9483601891979143,0.9478140626403735
50,0.1,0.8,0.5,5,0.9583475306111415,0.9480899455932599,0.9476065173347283
50,0.1,0.8,0.5,10,0.9580750319251381,0.9479247559908447,0.9473646877075868
50,0.1,0.8,1.0,1,0.9596852786292729,0.9482263885250595,0.9476899946096583
50,0.1,0.8,1.0,5,0.9593282885890216,0.9481205183276488,0.9473198235127769
50,0.1,0.8,1.0,10,0.9592324706195234,0.9479706842615105,0.9475427753267509
