feature,importance
B_7_max,0.0009434172
S_7_last,0.0009418782
R_2_min,0.0009405215
D_123_sum,0.00094011775
D_121_sum,0.0009390995
D_69_sum,0.00093872007
R_15_sum,0.0009357395
D_44_sum,0.0009355428
D_48_min,0.0009353001
D_56_min,0.0009348548
B_40_max,0.00093400304
R_14_sum,0.00093083375
D_128_max,0.0009300258
R_28_max,0.00092875643
D_124_sum,0.00092865835
D_117_3.0_mean,0.0009283398
R_26_last,0.0009264946
D_76_mean,0.00092645746
B_38_7.0_mean,0.0009223616
B_1_max,0.0009203881
S_7_mean,0.0009203824
D_79_mean,0.00091818196
D_55_min,0.0009178588
R_23_sum,0.0009177794
D_47_last,0.00091629307
D_135_min,0.0009159021
D_110_mean,0.0009142863
D_122_mean,0.0009135661
D_96_mean,0.00091336237
D_46_min,0.0009126259
S_26_mean,0.0009112659
D_52_min,0.00090906717
R_8_max,0.0009042048
D_78_sum,0.0009028782
S_5_min,0.0009022408
R_24_sum,0.0009011507
B_24_min,0.0008994495
B_21_max,0.00089902506
D_39_min,0.0008989689
D_128_mean,0.0008985271
D_60_mean,0.00089768885
S_22_last,0.0008969999
B_12_mean,0.0008968703
D_106_min,0.0008963632
D_121_max,0.00089400494
B_40_last,0.0008934206
B_15_max,0.0008930536
D_104_mean,0.00089286926
B_21_mean,0.0008927615
R_26_mean,0.0008913308
D_140_last,0.0008885491
R_16_sum,0.00088757265
B_21_sum,0.00088690757
D_77_sum,0.0008840768
R_10_min,0.00088262174
B_17_min,0.0008799375
B_26_mean,0.00087861845
D_143_sum,0.0008782947
D_81_last,0.0008719888
B_17_mean,0.00087063
D_143_min,0.00087060203
D_79_last,0.0008705168
D_62_max,0.00086736993
D_55_last,0.0008666642
R_19_max,0.00086470373
D_119_min,0.0008611926
D_133_max,0.0008604354
D_72_last,0.00085747923
R_6_last,0.00085702364
D_51_min,0.0008551203
D_106_last,0.00085472723
D_141_last,0.0008531059
R_19_sum,0.0008527786
B_32_max,0.0008522226
B_20_min,0.0008522105
B_18_mean,0.0008511484
D_74_sum,0.00084889116
D_109_min,0.00084699236
R_5_sum,0.00084530027
S_8_sum,0.00084453914
R_13_min,0.0008433197
D_79_sum,0.00084160717
D_115_sum,0.0008398876
D_89_last,0.0008394739
R_26_max,0.0008383276
D_120_1.0_mean,0.0008373333
D_62_sum,0.00083544897
D_117_5.0_sum,0.00083414477
D_125_max,0.00083334424
D_124_mean,0.0008330293
B_25_mean,0.0008305788
R_10_sum,0.000827763
S_15_max,0.0008271239
D_65_max,0.00082638074
S_9_sum,0.00082381564
D_112_max,0.0008233086
D_145_sum,0.0008229531
D_127_max,0.0008227319
R_10_mean,0.0008225988
D_52_max,0.00082250853
D_89_mean,0.0008224574
D_128_min,0.0008223991
D_58_min,0.00082198204
R_7_sum,0.00082180084
S_27_max,0.0008200121
S_6_max,0.00081772107
B_23_mean,0.0008173937
D_80_max,0.0008166463
D_74_mean,0.000816074
B_26_sum,0.0008158982
B_38_5.0_mean,0.0008155386
S_24_min,0.0008154236
D_48_max,0.0008134363
B_29_min,0.00081341085
D_118_mean,0.0008133717
D_75_mean,0.000812063
D_129_mean,0.00081107183
D_119_max,0.00081088237
D_117_1.0_sum,0.0008093688
B_36_max,0.0008091154
D_134_min,0.00080852595
D_125_last,0.00080822833
D_56_last,0.0008079021
S_7_sum,0.0008053077
D_60_min,0.00080514676
R_22_sum,0.0008044631
R_19_min,0.0008040373
D_117_4.0_sum,0.000803157
B_23_sum,0.0008028381
D_58_sum,0.0008013467
B_23_max,0.0008012541
B_6_min,0.0007997156
R_23_mean,0.00079922675
D_117_5.0_mean,0.0007967073
D_62_last,0.00079648424
B_11_min,0.00079598016
D_80_sum,0.0007944439
R_6_max,0.0007935894
D_72_mean,0.0007934046
D_141_min,0.0007923001
S_7_max,0.0007913492
B_28_sum,0.00079081685
R_16_last,0.00078897254
R_21_max,0.0007868566
R_9_last,0.00078602287
D_39_mean,0.0007846565
D_69_last,0.0007833848
S_17_last,0.00078302197
R_20_sum,0.0007825823
R_11_last,0.00078254374
B_13_sum,0.0007822294
B_24_last,0.0007821554
D_102_max,0.00078184734
D_78_mean,0.0007817217
B_16_max,0.00078136096
B_9_max,0.0007807411
R_23_min,0.00077959016
R_12_min,0.0007779615
D_82_min,0.0007763746
B_20_last,0.0007753499
B_36_mean,0.00077513827
R_12_last,0.00077492895
S_6_mean,0.000773138
R_7_min,0.0007712455
D_59_mean,0.0007712271
R_3_min,0.00077085104
B_32_last,0.00077021663
R_25_max,0.0007698681
D_130_sum,0.0007680766
D_69_max,0.0007679993
D_139_mean,0.00076776056
R_18_sum,0.0007676982
B_5_max,0.0007668437
B_33_mean,0.0007653224
D_112_sum,0.0007652536
D_104_max,0.0007635695
D_118_sum,0.0007635376
D_121_min,0.0007628174
D_54_mean,0.00076268974
B_4_min,0.00076225935
D_127_sum,0.00076214114
R_21_last,0.0007594782
D_131_mean,0.0007588267
D_141_mean,0.00075876643
S_18_sum,0.000758117
S_12_last,0.0007573214
B_15_min,0.00075554394
R_24_min,0.00075517123
D_58_last,0.0007549062
D_72_min,0.00075348245
D_54_last,0.00075276906
S_13_min,0.0007514745
D_105_min,0.00075022475
D_53_max,0.00075021654
B_13_max,0.0007493814
D_76_last,0.00074811524
B_37_min,0.0007471542
D_54_sum,0.00074507383
R_15_min,0.0007445793
D_76_min,0.0007444659
R_4_last,0.0007443924
R_12_sum,0.000743971
D_70_max,0.0007438639
